id,x_m,y_m,z_m,gravity_mgal
GV-00001,25.99,11.48,-704.31,-3.6323
GV-00002,57.64,44.29,-701.28,-3.5898
GV-00003,133.13,19.03,-704.91,-3.802
GV-00004,163.05,19.05,-702.57,-4.0917
GV-00005,236.62,32.54,-695.77,-4.173
GV-00006,289.07,39.49,-697.93,-4.4762
GV-00007,320.64,15.47,-702.02,-4.485
GV-00008,390.78,12.81,-695.86,-4.6197
GV-00009,413.63,23.4,-697.1,-4.8002
GV-00010,484.07,18.98,-696.86,-4.9643
GV-00011,514.35,39.64,-696.24,-5.15
GV-00012,564.19,30.2,-699.13,-5.2865
GV-00013,607.0,44.42,-703.79,-5.5041
GV-00014,687.24,30.39,-697.81,-5.4729
GV-00015,744.88,28.02,-696.9,-5.7724
GV-00016,768.81,38.64,-695.33,-5.9564
GV-00017,834.21,44.05,-699.14,-5.9122
GV-00018,876.42,28.46,-697.13,-5.8435
GV-00019,912.58,34.52,-701.2,-6.2895
GV-00020,955.19,31.74,-697.0,-6.2884
GV-00021,1009.11,6.71,-704.32,-6.4075
GV-00022,1085.46,44.12,-697.42,-6.6134
GV-00023,1107.96,44.35,-702.03,-6.7392
GV-00024,1181.96,39.6,-650.51,-6.7178
GV-00025,1228.94,28.41,-650.47,-6.7845
GV-00026,1275.41,7.23,-650.38,-6.907
GV-00027,1325.67,36.9,-646.63,-7.0413
GV-00028,1387.78,14.34,-646.85,-7.3641
GV-00029,1414.45,31.73,-650.93,-7.1477
GV-00030,1476.09,24.7,-649.87,-7.3773
GV-00031,1538.43,27.27,-649.04,-7.4051
GV-00032,1581.28,6.37,-646.56,-7.6806
GV-00033,1619.62,29.94,-650.74,-7.7598
GV-00034,1669.27,27.23,-645.4,-8.127
GV-00035,1706.8,30.62,-654.07,-7.8989
GV-00036,1755.56,8.44,-652.06,-8.0271
GV-00037,1826.85,26.33,-649.76,-8.1766
GV-00038,1873.13,35.73,-648.32,-8.2292
GV-00039,1925.55,6.79,-651.0,-8.1945
GV-00040,1957.09,29.54,-650.17,-8.5427
GV-00041,2021.93,19.95,-654.47,-8.5537
GV-00042,2090.53,26.01,-649.86,-8.557
GV-00043,2121.85,27.5,-647.06,-8.7401
GV-00044,2194.21,36.05,-647.27,-8.7616
GV-00045,2230.46,6.5,-650.46,-8.9701
GV-00046,2290.69,44.8,-654.72,-8.8584
GV-00047,2305.87,11.36,-647.39,-8.898
GV-00048,2393.39,16.9,-653.8,-9.0975
GV-00049,2415.3,32.32,-650.17,-9.0728
GV-00050,2484.35,14.05,-649.94,-9.112
GV-00051,2530.75,28.75,-654.04,-9.3709
GV-00052,2581.81,24.92,-652.6,-9.4571
GV-00053,2635.09,28.87,-647.72,-9.5269
GV-00054,2661.77,5.22,-652.62,-9.5565
GV-00055,2734.55,29.56,-651.55,-9.6027
GV-00056,2781.1,21.35,-652.06,-9.7125
GV-00057,2822.98,40.33,-652.51,-9.834
GV-00058,2862.79,34.96,-647.58,-9.9405
GV-00059,2920.98,32.95,-645.86,-9.9581
GV-00060,2977.42,16.17,-648.33,-10.1596
GV-00061,3037.75,26.94,-646.84,-10.1304
GV-00062,3056.64,18.67,-651.94,-10.1574
GV-00063,3141.28,11.22,-650.16,-10.0227
GV-00064,3162.83,31.82,-653.49,-10.3156
GV-00065,3239.78,7.09,-646.77,-10.3857
GV-00066,3282.07,7.05,-648.83,-10.3626
GV-00067,3323.5,26.64,-645.26,-10.3329
GV-00068,3389.03,12.94,-649.18,-10.4613
GV-00069,3415.41,31.57,-651.93,-10.5502
GV-00070,3469.41,15.16,-647.71,-10.6147
GV-00071,3508.08,22.15,-647.43,-10.52
GV-00072,3557.18,21.34,-652.0,-10.6025
GV-00073,3634.64,23.27,-645.94,-10.8167
GV-00074,3664.1,10.82,-648.67,-10.9202
GV-00075,3713.51,18.53,-655.0,-10.9702
GV-00076,3783.37,17.29,-652.02,-10.9836
GV-00077,3828.49,31.35,-651.6,-10.9952
GV-00078,3884.13,33.05,-645.52,-11.0977
GV-00079,3913.13,42.07,-654.1,-10.9862
GV-00080,3971.0,7.62,-652.01,-11.1902
GV-00081,4008.0,11.56,-653.47,-11.0033
GV-00082,4079.06,29.88,-650.29,-11.1812
GV-00083,4126.63,11.67,-650.16,-11.3471
GV-00084,4190.83,10.12,-648.14,-11.3019
GV-00085,4210.81,21.45,-652.46,-11.11
GV-00086,4285.62,7.57,-650.64,-11.3289
GV-00087,4327.55,42.33,-650.96,-11.3241
GV-00088,4391.31,35.69,-648.72,-11.2834
GV-00089,4441.58,42.61,-650.56,-11.3938
GV-00090,4455.75,17.77,-651.51,-11.4633
GV-00091,4536.54,27.61,-653.17,-11.2962
GV-00092,4581.48,40.24,-653.92,-11.4266
GV-00093,4622.81,26.13,-648.51,-11.3779
GV-00094,4688.75,13.67,-647.64,-11.3676
GV-00095,4715.63,7.53,-651.91,-11.5521
GV-00096,4763.45,30.31,-651.03,-11.522
GV-00097,4825.33,27.15,-647.99,-11.5608
GV-00098,4877.67,24.64,-645.41,-11.5361
GV-00099,4924.26,41.82,-646.89,-11.5694
GV-00100,4958.63,9.77,-653.16,-11.6389
GV-00101,5009.16,33.06,-649.12,-11.4601
GV-00102,5075.72,37.55,-650.31,-11.6271
GV-00103,5113.44,26.67,-647.35,-11.5715
GV-00104,5171.84,8.83,-650.62,-11.7376
GV-00105,5205.99,34.67,-648.69,-11.6444
GV-00106,5295.0,19.71,-650.99,-11.5993
GV-00107,5306.51,5.84,-646.09,-11.603
GV-00108,5359.69,20.94,-654.43,-11.6228
GV-00109,5441.38,36.3,-646.73,-11.3672
GV-00110,5469.69,40.28,-650.04,-11.707
GV-00111,5512.13,33.64,-654.35,-11.4038
GV-00112,5587.06,44.28,-651.11,-11.4639
GV-00113,5643.76,42.63,-646.33,-11.5695
GV-00114,5666.55,33.08,-645.25,-11.4241
GV-00115,5712.47,14.54,-654.51,-11.04
GV-00116,5771.65,14.67,-647.74,-11.3514
GV-00117,5840.53,43.64,-647.39,-11.2797
GV-00118,5892.09,44.3,-647.59,-11.2683
GV-00119,5922.37,29.24,-647.4,-11.016
GV-00120,5961.41,25.2,-649.52,-10.961
GV-00121,6005.78,28.92,-650.85,-10.9543
GV-00122,6063.98,18.5,-652.1,-10.8879
GV-00123,6121.66,39.39,-649.62,-10.9257
GV-00124,6178.44,24.77,-646.18,-10.6492
