id,x_m,y_m,z_m,gravity_mgal
GV-00001,18.8,14.35,-900.77,-6.1914
GV-00002,56.16,18.32,-895.3,-6.0629
GV-00003,132.46,28.65,-895.6,-6.219
GV-00004,180.99,24.34,-951.53,-6.0412
GV-00005,241.54,42.21,-952.69,-6.3677
GV-00006,259.92,44.5,-954.65,-6.3803
GV-00007,329.76,6.95,-945.89,-6.1344
GV-00008,390.16,38.04,-945.89,-6.1497
GV-00009,409.31,28.0,-947.02,-6.0891
GV-00010,463.51,44.42,-947.5,-6.2231
GV-00011,529.63,29.89,-947.93,-6.1378
GV-00012,565.81,11.76,-945.68,-6.1016
GV-00013,629.87,11.34,-946.39,-5.9847
GV-00014,693.31,24.77,-950.3,-6.0442
GV-00015,738.86,42.07,-952.57,-6.1407
GV-00016,764.8,17.23,-951.98,-5.9814
GV-00017,830.1,17.51,-947.65,-5.8
GV-00018,893.09,25.35,-952.06,-5.856
GV-00019,913.94,11.67,-950.83,-5.9315
GV-00020,973.63,24.34,-951.79,-5.8155
GV-00021,1010.47,24.46,-947.83,-5.9605
GV-00022,1084.77,43.28,-948.17,-5.8391
GV-00023,1124.75,34.79,-945.89,-5.8113
GV-00024,1170.35,30.48,-952.33,-5.7081
GV-00025,1219.67,38.78,-949.08,-5.7785
GV-00026,1271.41,11.0,-951.52,-5.6734
GV-00027,1344.51,37.17,-946.75,-5.5272
GV-00028,1374.43,24.63,-948.79,-5.5116
GV-00029,1407.19,33.79,-950.67,-5.4379
GV-00030,1464.53,16.46,-950.09,-5.4413
GV-00031,1544.82,36.12,-954.74,-5.5588
GV-00032,1591.44,30.43,-951.45,-5.2834
GV-00033,1643.28,43.07,-950.53,-5.4684
GV-00034,1668.51,44.87,-949.63,-5.1789
GV-00035,1730.75,34.3,-946.21,-5.3495
GV-00036,1776.23,42.37,-953.97,-5.3827
GV-00037,1821.54,12.48,-948.67,-5.2552
GV-00038,1876.08,5.57,-946.81,-5.024
GV-00039,1944.69,26.47,-953.63,-5.0888
GV-00040,1994.94,44.07,-945.6,-5.0921
GV-00041,2042.26,17.5,-951.42,-5.1274
GV-00042,2073.39,35.95,-952.24,-5.0389
GV-00043,2137.85,10.38,-948.9,-4.8375
GV-00044,2180.85,25.76,-947.48,-4.7528
GV-00045,2212.41,22.04,-950.69,-4.733
GV-00046,2268.72,29.6,-949.26,-4.6875
GV-00047,2305.88,32.14,-950.9,-4.8549
GV-00048,2361.66,35.38,-954.55,-4.697
GV-00049,2409.18,37.05,-945.25,-4.7069
GV-00050,2485.8,12.42,-945.32,-4.6494
GV-00051,2520.1,23.23,-952.71,-4.5279
GV-00052,2558.76,44.99,-954.92,-4.7465
GV-00053,2624.71,12.08,-948.1,-4.4655
GV-00054,2671.99,22.63,-948.34,-4.5053
GV-00055,2711.94,36.19,-952.43,-4.6224
GV-00056,2789.82,38.9,-1000.09,-4.4771
GV-00057,2842.93,35.59,-996.65,-4.392
GV-00058,2886.42,41.94,-997.16,-4.3216
GV-00059,2924.38,8.29,-998.67,-4.2103
GV-00060,2977.09,38.93,-1003.09,-4.327
GV-00061,3039.99,22.76,-1004.46,-4.3516
GV-00062,3078.63,39.19,-1000.14,-4.2304
GV-00063,3123.57,40.4,-999.82,-4.14
GV-00064,3180.32,20.64,-1002.73,-4.0409
GV-00065,3234.34,9.2,-996.96,-4.3843
GV-00066,3287.89,19.7,-997.1,-4.0982
GV-00067,3316.59,10.2,-997.86,-4.0179
GV-00068,3361.42,41.68,-1004.07,-4.3277
GV-00069,3415.32,13.63,-1046.69,-4.0565
GV-00070,3479.03,42.41,-1054.24,-4.267
GV-00071,3524.39,14.7,-1053.77,-4.3337
GV-00072,3555.96,26.51,-1050.27,-4.2666
GV-00073,3627.62,13.28,-1049.56,-4.0595
GV-00074,3663.12,7.16,-1053.93,-4.1781
GV-00075,3735.73,13.73,-1051.13,-4.363
GV-00076,3763.33,41.74,-1054.48,-4.3789
GV-00077,3815.96,31.0,-1052.86,-4.3492
GV-00078,3866.91,38.65,-1053.92,-4.3165
GV-00079,3922.61,10.95,-1045.57,-4.1945
GV-00080,3990.38,18.14,-1054.1,-4.2837
GV-00081,4044.21,41.57,-1054.79,-4.2134
GV-00082,4073.82,15.57,-1047.29,-4.4726
GV-00083,4109.09,27.45,-1049.81,-4.3319
GV-00084,4168.99,31.86,-1096.43,-4.4529
GV-00085,4222.85,9.29,-1099.61,-4.4355
GV-00086,4256.44,38.36,-1099.64,-4.5292
GV-00087,4326.65,12.01,-1104.79,-4.4454
GV-00088,4383.52,39.4,-1096.45,-4.3462
GV-00089,4433.54,27.29,-1102.83,-4.6424
GV-00090,4475.27,38.41,-1101.75,-4.3611
GV-00091,4509.56,35.32,-1100.35,-4.2819
GV-00092,4557.57,27.24,-1103.04,-4.4641
GV-00093,4605.51,31.34,-1096.26,-4.7489
GV-00094,4668.76,44.39,-1146.14,-4.6988
GV-00095,4741.02,37.37,-1153.57,-4.5376
GV-00096,4774.85,40.95,-1152.32,-4.5759
GV-00097,4837.73,29.62,-1146.45,-4.6088
GV-00098,4887.32,13.45,-1153.43,-4.587
GV-00099,4940.94,12.6,-1153.12,-4.7207
GV-00100,4985.47,20.13,-1145.32,-4.5257
GV-00101,5025.95,36.18,-1147.28,-4.5976
GV-00102,5093.74,14.88,-1200.48,-4.7301
GV-00103,5113.1,12.57,-1200.55,-4.7701
GV-00104,5187.49,37.36,-1197.15,-4.8567
GV-00105,5225.98,20.63,-1197.89,-4.6295
GV-00106,5256.33,30.13,-1198.2,-4.8004
GV-00107,5342.66,31.61,-1200.12,-4.8983
GV-00108,5365.08,29.49,-1196.02,-4.9337
GV-00109,5418.25,37.25,-1203.47,-5.0896
GV-00110,5469.28,26.71,-1200.12,-4.8143
GV-00111,5506.27,5.43,-1196.79,-4.8638
GV-00112,5563.26,41.87,-1196.89,-4.9163
GV-00113,5611.41,30.41,-1198.99,-5.1285
GV-00114,5686.39,7.31,-1203.76,-5.0109
GV-00115,5728.43,23.29,-1199.53,-4.8437
GV-00116,5774.42,9.37,-1198.08,-4.9805
GV-00117,5832.37,39.42,-1199.43,-5.0987
GV-00118,5878.11,35.84,-1197.22,-5.0331
GV-00119,5931.31,41.85,-1249.35,-4.8534
GV-00120,5957.9,28.15,-1251.09,-5.0031
GV-00121,6019.32,41.97,-1248.41,-5.0901
GV-00122,6083.0,18.87,-1248.17,-5.1723
GV-00123,6106.61,32.72,-1250.6,-4.8296
GV-00124,6187.84,16.73,-1252.12,-5.0723
GV-00125,6239.81,12.98,-1246.9,-5.0017
GV-00126,6268.64,12.75,-1249.94,-5.2115
GV-00127,6317.31,28.5,-1253.15,-5.2144
GV-00128,6378.59,17.4,-1250.41,-5.1363
GV-00129,18.28,87.39,-897.85,-6.3112
GV-00130,77.2,81.26,-895.76,-6.14
GV-00131,113.08,57.83,-895.26,-6.2255
GV-00132,159.55,66.03,-904.89,-6.1741
GV-00133,215.11,56.35,-902.45,-6.2224
GV-00134,294.8,57.9,-902.21,-6.1671
GV-00135,341.33,75.83,-904.15,-6.1873
GV-00136,355.64,79.45,-902.58,-6.2639
GV-00137,437.52,62.82,-903.43,-6.0213
GV-00138,483.65,87.04,-897.21,-6.1357
GV-00139,518.86,79.47,-897.87,-6.1288
GV-00140,557.89,58.68,-899.88,-6.058
GV-00141,643.45,89.55,-898.43,-6.0679
GV-00142,675.99,84.86,-897.72,-6.1314
GV-00143,733.46,88.61,-895.65,-6.1579
GV-00144,771.97,79.33,-904.98,-5.9171
GV-00145,831.04,71.52,-904.88,-5.9139
GV-00146,864.1,63.57,-895.9,-5.8991
GV-00147,941.26,55.31,-898.68,-6.1315
GV-00148,978.37,56.01,-895.02,-5.8637
GV-00149,1031.31,76.87,-896.59,-5.776
GV-00150,1088.62,82.71,-901.73,-5.8856
GV-00151,1111.06,62.54,-898.64,-5.8336
GV-00152,1175.47,92.0,-904.12,-5.7294
GV-00153,1211.35,77.76,-899.81,-5.7162
GV-00154,1291.37,67.2,-895.18,-5.7403
