# crs: EPSG:2193
# origin_xy_absolute_m: 1335878.572, 4928275.863
id,x_m,y_m,z_m,gravity_mgal
GV-00001,40.21,42.65,-466.67,-7.3212
GV-00002,91.37,7.1,-460.67,-7.307
GV-00003,129.35,13.99,-452.76,-7.4048
GV-00004,189.46,23.25,-449.12,-7.3081
GV-00005,243.83,36.92,-426.91,-7.5408
GV-00006,260.04,24.02,-410.84,-7.6257
GV-00007,317.68,11.32,-407.42,-7.4241
GV-00008,376.36,38.88,-411.13,-7.5101
GV-00009,418.99,44.05,-398.16,-7.575
GV-00010,480.68,21.17,-393.29,-7.812
GV-00011,521.63,7.27,-381.98,-7.7088
GV-00012,566.1,34.45,-374.79,-7.8038
GV-00013,638.6,15.72,-369.34,-7.7174
GV-00014,675.13,12.23,-354.07,-7.6148
GV-00015,710.7,12.03,-348.69,-7.8688
GV-00016,774.82,37.87,-337.07,-7.7095
GV-00017,819.08,30.48,-336.4,-7.8377
GV-00018,884.31,40.19,-332.63,-7.864
GV-00019,939.57,29.18,-341.43,-7.6796
GV-00020,962.83,30.96,-342.88,-7.9496
GV-00021,1023.57,13.03,-344.03,-7.9948
GV-00022,1094.32,22.69,-349.57,-7.6764
GV-00023,1124.69,39.34,-355.09,-7.8555
GV-00024,1172.33,27.78,-352.81,-7.8046
GV-00025,1222.62,41.23,-344.73,-7.8512
GV-00026,1286.21,28.33,-332.66,-7.855
GV-00027,1321.68,39.32,-310.18,-7.84
GV-00028,1371.64,18.17,-296.48,-7.9233
GV-00029,1430.04,39.04,-291.11,-7.6449
GV-00030,1489.46,32.77,-294.47,-7.9055
GV-00031,1544.17,37.97,-286.23,-7.8146
GV-00032,1586.98,11.98,-269.15,-7.6735
GV-00033,1605.48,16.9,-264.41,-7.696
GV-00034,1691.05,19.34,-251.0,-7.7172
GV-00035,1715.13,33.02,-233.74,-7.7579
GV-00036,1766.44,28.75,-226.58,-7.6641
GV-00037,1806.2,40.25,-228.66,-7.7595
GV-00038,1868.9,39.85,-226.71,-7.5986
GV-00039,1931.83,33.56,-226.47,-7.3634
GV-00040,1967.9,25.76,-224.43,-7.6263
GV-00041,2031.45,37.11,-225.35,-7.6253
GV-00042,2062.13,6.76,-230.5,-7.7939
GV-00043,2141.72,11.45,-217.15,-7.6928
GV-00044,2177.69,25.19,-199.29,-7.6119
GV-00045,2231.15,12.6,-207.25,-7.5129
GV-00046,2274.27,6.09,-186.91,-7.5667
GV-00047,2312.58,44.36,-180.52,-7.5531
GV-00048,2372.19,31.27,-176.07,-7.5531
GV-00049,2421.61,37.27,-154.47,-7.6719
GV-00050,2455.72,5.74,-139.45,-7.6846
GV-00051,2509.67,24.0,-121.72,-7.7467
GV-00052,2585.72,15.03,-111.03,-7.6498
GV-00053,2621.44,23.63,-100.76,-7.7332
GV-00054,2685.06,23.32,-74.77,-7.6488
GV-00055,2726.4,39.89,-69.21,-7.753
GV-00056,2775.16,29.24,-56.65,-7.6651
GV-00057,2826.8,28.72,-45.28,-7.7061
GV-00058,2870.74,25.58,-41.34,-7.6775
GV-00059,2933.3,22.73,-25.75,-7.9346
GV-00060,2989.05,26.55,-24.15,-7.711
GV-00061,3036.81,38.87,-10.57,-7.7279
GV-00062,3078.01,12.18,-6.28,-7.7243
GV-00063,3116.83,17.01,6.58,-7.7407
GV-00064,3165.62,5.51,14.7,-7.7579
GV-00065,3236.2,37.04,23.72,-7.7189
GV-00066,3294.05,39.89,28.95,-7.9108
GV-00067,3311.37,18.11,29.69,-7.7055
GV-00068,3369.88,38.37,37.42,-7.8804
GV-00069,3433.27,20.23,42.68,-7.7428
GV-00070,3465.1,33.65,43.67,-7.6204
GV-00071,3505.84,21.72,50.4,-7.8285
GV-00072,3588.09,31.03,51.75,-7.7479
GV-00073,3612.49,22.1,45.72,-7.4959
GV-00074,3678.99,8.42,36.71,-7.5934
GV-00075,3744.15,31.49,40.19,-7.4953
GV-00076,3790.23,9.7,41.58,-7.5336
GV-00077,3836.7,33.71,48.83,-7.3489
GV-00078,3886.13,42.94,45.39,-7.5215
GV-00079,3922.31,29.08,38.64,-7.5612
GV-00080,3993.12,33.82,23.54,-7.295
GV-00081,4010.31,26.68,5.89,-7.3574
GV-00082,4060.89,42.46,-15.77,-7.2443
GV-00083,4108.66,33.58,-18.78,-7.2367
GV-00084,4194.77,30.43,-27.1,-7.1956
GV-00085,4233.38,15.41,-39.67,-7.0136
GV-00086,4294.48,7.66,-33.15,-6.8158
GV-00087,4309.7,23.1,-21.32,-7.012
GV-00088,4355.71,14.33,-11.32,-6.9565
GV-00089,4440.19,23.85,-4.35,-7.0305
GV-00090,4456.99,31.55,9.44,-6.9557
GV-00091,4533.73,31.19,9.82,-6.8351
GV-00092,4573.81,23.56,10.78,-6.953
GV-00093,4615.47,18.92,11.5,-6.7006
GV-00094,4672.49,43.58,13.16,-6.8309
GV-00095,4730.9,7.35,12.97,-6.7949
GV-00096,4773.09,37.76,10.47,-6.7137
GV-00097,4825.63,7.35,-5.65,-6.4922
GV-00098,4870.7,26.32,-5.42,-6.5028
GV-00099,4939.73,28.26,2.16,-6.4547
GV-00100,4964.75,19.64,0.71,-6.4872
GV-00101,5023.39,18.66,-5.2,-6.4704
GV-00102,5073.73,25.91,-10.0,-6.1942
GV-00103,5111.5,28.63,-17.26,-6.4211
GV-00104,5186.17,22.85,-3.45,-6.2158
GV-00105,5243.99,10.35,4.62,-6.1471
GV-00106,5275.84,25.5,5.91,-5.9692
GV-00107,5305.45,17.34,10.06,-6.0356
GV-00108,5384.97,38.65,9.12,-5.9094
GV-00109,5421.28,24.91,1.82,-5.6547
GV-00110,5457.46,18.48,-3.79,-5.5513
GV-00111,5514.95,37.3,0.84,-5.7049
GV-00112,5592.23,19.51,-6.74,-5.5759
GV-00113,5617.99,25.93,-15.97,-5.2708
GV-00114,5657.24,19.55,-23.66,-5.3722
GV-00115,5726.21,38.49,-28.62,-5.2372
GV-00116,5778.96,24.93,-32.86,-5.3212
GV-00117,5816.89,10.24,-34.78,-5.057
GV-00118,5876.83,6.45,-38.09,-4.7702
GV-00119,5919.07,12.13,-37.62,-4.7357
GV-00120,5981.01,36.57,-34.28,-4.4537
GV-00121,6022.04,42.35,-43.77,-4.4773
GV-00122,6055.84,21.14,-35.67,-4.3477
GV-00123,6144.43,20.16,-31.55,-4.12
GV-00124,6157.64,8.78,-39.95,-4.0146
GV-00125,6215.07,41.67,-48.97,-3.8818
GV-00126,6291.74,9.62,-52.92,-3.7488
GV-00127,6311.2,6.69,-60.59,-3.618
GV-00128,6355.28,21.05,-68.27,-3.4339
GV-00129,24.39,91.51,-479.35,-7.4972
GV-00130,72.72,88.99,-464.9,-7.557
GV-00131,136.99,82.65,-457.32,-7.4775
GV-00132,166.46,64.63,-448.46,-7.4992
GV-00133,224.35,73.56,-430.42,-7.731
GV-00134,275.53,64.51,-425.77,-7.7906
GV-00135,325.49,90.39,-421.13,-7.572
GV-00136,389.16,72.18,-412.24,-7.5046
GV-00137,418.8,62.28,-399.39,-7.7012
GV-00138,463.9,72.38,-398.72,-7.7354
GV-00139,535.13,74.79,-384.49,-7.7918
GV-00140,569.82,91.87,-373.31,-7.8586
GV-00141,619.1,69.97,-367.28,-7.7657
GV-00142,664.71,66.31,-359.63,-7.7481
GV-00143,716.52,76.28,-354.37,-7.9583
GV-00144,780.38,91.36,-345.39,-8.1341
GV-00145,810.55,93.51,-351.32,-7.9044
GV-00146,889.69,83.7,-343.42,-8.129
GV-00147,921.05,74.39,-347.17,-8.0
GV-00148,981.87,81.12,-357.72,-8.1628
GV-00149,1010.72,70.3,-358.23,-8.0913
GV-00150,1094.82,58.83,-363.35,-8.0487
GV-00151,1126.86,68.76,-364.19,-7.9559
GV-00152,1185.32,61.8,-365.64,-7.8585
GV-00153,1221.29,79.09,-351.19,-8.0688
GV-00154,1259.17,88.96,-334.49,-8.0949
GV-00155,1334.11,77.06,-318.25,-7.9882
GV-00156,1373.84,55.1,-315.92,-7.9503
GV-00157,1421.71,71.43,-313.3,-7.9865
GV-00158,1477.53,81.14,-306.34,-7.9875
GV-00159,1535.58,92.17,-292.55,-7.8587
GV-00160,1562.86,56.67,-275.36,-7.9452
GV-00161,1631.3,85.6,-262.32,-8.0556
GV-00162,1675.28,72.1,-256.54,-7.8753
GV-00163,1714.9,69.84,-241.98,-7.7116
GV-00164,1786.46,67.78,-241.32,-7.9449
GV-00165,1843.69,84.69,-237.75,-7.9784
GV-00166,1884.56,89.36,-246.85,-7.886
GV-00167,1906.79,78.9,-244.29,-7.8487
GV-00168,1962.58,82.04,-242.77,-7.9316
GV-00169,2044.84,84.78,-240.38,-7.8373
GV-00170,2074.97,81.56,-228.82,-7.6458
GV-00171,2143.3,62.64,-224.84,-7.855
GV-00172,2178.33,83.09,-220.14,-7.786
GV-00173,2229.97,80.45,-202.3,-7.8566
GV-00174,2263.81,87.41,-179.34,-8.0291
GV-00175,2316.89,60.95,-164.45,-7.8853
GV-00176,2358.4,92.47,-155.18,-7.8177
GV-00177,2417.85,89.46,-149.86,-8.0724
GV-00178,2461.58,68.64,-141.43,-8.003
GV-00179,2524.17,59.88,-125.89,-7.9675
GV-00180,2582.85,62.82,-121.59,-7.9452
GV-00181,2631.06,57.52,-104.27,-8.1055
GV-00182,2694.86,65.03,-84.7,-7.944
GV-00183,2714.27,86.23,-76.13,-8.0218
GV-00184,2781.51,76.93,-64.07,-8.0536
GV-00185,2820.02,85.81,-50.73,-8.0262
GV-00186,2894.02,82.0,-42.64,-8.2265
GV-00187,2935.39,60.38,-41.7,-8.1505
GV-00188,2977.37,83.56,-34.82,-7.9672
GV-00189,3009.03,92.49,-23.53,-8.177
GV-00190,3092.6,84.6,-15.79,-8.1366
GV-00191,3144.45,76.19,0.54,-8.0864
GV-00192,3166.93,69.05,11.07,-7.9843
GV-00193,3213.51,85.63,17.27,-8.2189
GV-00194,3274.19,56.28,19.88,-8.0924
GV-00195,3324.26,55.82,30.44,-8.1291
GV-00196,3392.21,89.05,37.29,-8.1204
GV-00197,3441.28,67.98,37.98,-8.192
GV-00198,3467.62,90.56,42.21,-8.0607
GV-00199,3519.48,80.32,48.39,-7.9509
GV-00200,3561.53,80.1,43.76,-8.0543
GV-00201,3641.58,83.93,37.49,-7.9729
GV-00202,3689.41,59.23,39.89,-8.0025
GV-00203,3720.48,67.82,37.71,-8.0435
GV-00204,3779.72,60.02,42.56,-7.8501
GV-00205,3841.38,59.14,48.92,-7.9336
GV-00206,3873.65,59.04,41.51,-7.9051
GV-00207,3942.13,68.88,24.9,-7.9299
GV-00208,3964.55,94.37,11.3,-7.5558
GV-00209,4016.37,81.63,-3.26,-7.6013
GV-00210,4090.34,72.27,-13.28,-7.5486
GV-00211,4119.33,56.83,-25.09,-7.2644
GV-00212,4182.61,83.95,-23.31,-7.1123
GV-00213,4230.65,74.28,-36.6,-7.3003
GV-00214,4272.74,64.13,-39.72,-7.4193
GV-00215,4331.04,55.97,-26.65,-7.2741
GV-00216,4370.36,85.15,-10.9,-7.2357
GV-00217,4414.57,83.97,-3.14,-7.451
GV-00218,4468.58,64.04,8.72,-7.3126
GV-00219,4518.86,63.16,8.04,-7.1419
GV-00220,4587.84,79.93,-0.45,-7.1698
GV-00221,4643.2,73.32,4.89,-7.1229
GV-00222,4687.51,65.39,4.29,-7.0324
GV-00223,4729.07,93.17,1.45,-6.9387
GV-00224,4755.38,56.99,1.61,-7.0345
GV-00225,4810.7,64.04,-12.45,-6.9862
GV-00226,4857.8,80.03,-9.05,-6.8059
GV-00227,4932.33,64.66,-2.72,-6.7156
GV-00228,4961.76,94.25,-0.19,-6.8027
GV-00229,5033.88,80.9,-13.38,-6.5784
GV-00230,5076.9,56.94,-21.41,-6.626
GV-00231,5127.34,91.75,-13.31,-6.5854
GV-00232,5166.7,88.9,-5.47,-6.4649
GV-00233,5240.72,84.54,-6.06,-6.3502
GV-00234,5282.97,86.2,2.71,-6.3769
GV-00235,5321.2,88.45,2.05,-6.4749
GV-00236,5385.37,92.91,6.89,-6.1815
GV-00237,5419.29,56.47,-1.7,-6.2862
GV-00238,5492.83,63.02,-4.9,-5.8917
GV-00239,5540.88,62.93,-0.62,-5.6936
GV-00240,5592.67,94.54,-7.02,-5.8915
GV-00241,5624.15,87.0,-11.86,-5.848
GV-00242,5675.24,69.12,-18.21,-5.5508
GV-00243,5731.79,75.52,-31.85,-5.5079
GV-00244,5784.13,92.62,-32.3,-5.3436
GV-00245,5814.13,78.78,-36.61,-5.3409
GV-00246,5878.61,67.32,-36.33,-5.0334
GV-00247,5920.47,58.19,-28.93,-5.0991
GV-00248,5980.35,84.14,-33.72,-4.8788
GV-00249,6035.72,74.96,-30.23,-4.4299
GV-00250,6066.83,88.99,-28.22,-4.6634
GV-00251,6122.09,91.95,-29.03,-4.3604
GV-00252,6191.84,89.01,-37.28,-4.154
GV-00253,6222.59,78.62,-50.2,-4.1792
GV-00254,6262.03,94.29,-59.47,-3.9715
GV-00255,6336.98,61.68,-60.54,-3.7113
GV-00256,6360.44,55.37,-64.63,-3.6533
GV-00257,24.87,144.58,-484.49,-7.4772
GV-00258,67.56,112.91,-476.31,-7.3665
GV-00259,140.51,110.47,-459.26,-7.6577
GV-00260,160.1,133.09,-447.98,-7.6545
GV-00261,238.87,113.85,-445.54,-7.6926
GV-00262,291.27,141.22,-426.9,-7.78
GV-00263,325.01,121.03,-422.19,-7.7867
GV-00264,362.99,109.58,-410.24,-7.7392
GV-00265,409.85,118.79,-401.21,-7.7475
GV-00266,483.5,131.7,-393.96,-7.7446
GV-00267,530.55,129.12,-392.53,-7.9045
GV-00268,588.25,111.76,-380.05,-8.0477
GV-00269,615.32,129.69,-382.48,-8.1736
GV-00270,683.49,140.53,-371.49,-8.1302
GV-00271,723.47,127.26,-369.42,-7.8505
GV-00272,776.07,135.38,-359.42,-7.9798
GV-00273,815.1,124.78,-370.44,-7.9963
GV-00274,884.13,107.59,-365.32,-8.0488
GV-00275,913.41,128.41,-353.85,-8.2112
GV-00276,980.99,133.95,-359.54,-8.1514
GV-00277,1043.27,121.39,-376.7,-8.067
GV-00278,1080.05,107.14,-378.58,-8.2371
GV-00279,1126.85,130.99,-371.37,-8.1183
GV-00280,1163.26,143.84,-359.45,-8.1819
GV-00281,1228.82,124.87,-340.48,-8.2556
GV-00282,1266.94,141.93,-335.11,-8.1955
GV-00283,1305.81,109.64,-327.59,-8.2836
GV-00284,1370.13,132.43,-334.67,-8.1673
GV-00285,1422.61,131.52,-325.54,-8.3462
GV-00286,1493.52,107.69,-308.73,-8.0986
GV-00287,1517.42,109.62,-294.13,-8.0352
GV-00288,1565.93,139.29,-280.48,-8.1772
GV-00289,1626.51,116.03,-270.84,-8.2049
GV-00290,1678.95,133.29,-257.42,-8.0458
GV-00291,1736.61,118.06,-251.15,-8.251
GV-00292,1775.3,114.37,-244.39,-8.1744
GV-00293,1842.25,112.43,-246.99,-7.9211
GV-00294,1865.45,111.25,-257.23,-8.0549
GV-00295,1919.19,112.24,-260.88,-8.0611
GV-00296,1982.52,137.79,-257.51,-8.0731
GV-00297,2029.51,135.23,-248.53,-8.0745
GV-00298,2058.87,111.01,-220.21,-7.9531
GV-00299,2123.2,139.16,-202.56,-7.9345
GV-00300,2164.68,114.03,-198.3,-7.9975
GV-00301,2241.59,115.98,-187.42,-8.0743
GV-00302,2260.49,144.18,-164.39,-8.233
GV-00303,2333.33,112.31,-158.18,-8.1988
GV-00304,2376.24,116.35,-143.95,-8.1022
GV-00305,2430.04,106.28,-126.48,-8.2383
GV-00306,2476.46,117.38,-122.92,-8.3338
GV-00307,2507.59,119.68,-116.06,-8.2922
GV-00308,2567.14,134.88,-102.97,-8.2636
GV-00309,2632.21,118.16,-100.71,-8.2314
GV-00310,2661.85,119.76,-94.83,-8.2141
GV-00311,2735.21,119.04,-83.51,-8.2041
GV-00312,2792.06,122.23,-76.06,-8.3621
GV-00313,2824.37,131.05,-61.15,-8.4717
GV-00314,2867.8,137.01,-50.85,-8.4455
GV-00315,2932.79,123.74,-43.02,-8.2665
GV-00316,2960.56,138.6,-32.78,-8.5279
GV-00317,3034.52,141.49,-25.01,-8.1195
GV-00318,3086.28,129.88,-18.93,-8.4192
GV-00319,3111.64,110.48,-7.21,-8.2642
GV-00320,3191.06,135.38,2.89,-8.4621
GV-00321,3219.65,139.09,12.1,-8.504
GV-00322,3282.3,116.34,19.07,-8.3129
GV-00323,3323.84,109.53,25.9,-8.4177
GV-00324,3391.73,139.38,28.23,-8.5433
GV-00325,3416.22,115.1,35.15,-8.2855
GV-00326,3469.69,118.24,44.33,-8.3633
GV-00327,3538.29,105.01,46.52,-8.3832
GV-00328,3593.52,131.27,40.33,-8.4479
GV-00329,3622.1,137.14,28.96,-8.5162
GV-00330,3661.03,124.29,35.24,-8.37
GV-00331,3722.55,114.05,43.7,-8.1889
GV-00332,3791.85,144.21,45.62,-8.2323
GV-00333,3827.79,142.41,41.53,-8.1378
GV-00334,3870.45,105.15,34.88,-8.1087
GV-00335,3928.22,111.15,17.49,-8.0541
GV-00336,3966.23,106.77,4.8,-8.006
GV-00337,4008.89,128.25,-14.59,-7.8197
GV-00338,4076.72,133.53,-24.0,-7.85
GV-00339,4112.69,143.96,-30.32,-7.8961
GV-00340,4183.63,140.86,-40.96,-7.7032
GV-00341,4216.17,124.28,-40.12,-7.715
GV-00342,4288.79,133.75,-45.66,-7.748
GV-00343,4332.06,118.97,-33.61,-7.5161
GV-00344,4384.98,131.38,-14.46,-7.5962
GV-00345,4439.21,144.8,-2.34,-7.5796
GV-00346,4457.97,143.07,8.38,-7.5812
GV-00347,4534.66,120.84,8.74,-7.4568
GV-00348,4565.39,113.38,4.81,-7.4769
GV-00349,4642.71,143.99,-0.62,-7.6651
GV-00350,4694.52,142.98,-5.66,-7.3934
GV-00351,4734.19,140.7,-12.42,-7.3096
GV-00352,4775.22,111.25,-14.44,-7.0209
GV-00353,4807.21,131.41,-13.79,-7.1447
GV-00354,4857.87,129.31,-8.61,-7.1014
GV-00355,4940.48,137.06,-6.52,-6.9191
GV-00356,4979.06,124.43,-11.77,-7.197
GV-00357,5029.6,125.65,-17.16,-6.895
GV-00358,5072.12,132.89,-15.14,-6.9018
GV-00359,5139.12,136.55,-15.67,-6.9472
GV-00360,5160.65,118.13,-9.17,-6.6023
GV-00361,5235.82,130.88,-4.48,-6.5228
GV-00362,5282.36,121.36,-4.84,-6.7186
GV-00363,5305.99,129.07,5.55,-6.5157
GV-00364,5364.3,107.1,5.32,-6.4962
GV-00365,5426.25,144.14,-0.48,-6.2224
GV-00366,5472.46,132.02,0.94,-6.3974
GV-00367,5540.51,130.04,-9.02,-6.1042
GV-00368,5574.17,106.83,-8.67,-6.1016
GV-00369,5616.24,122.24,-13.58,-5.8202
GV-00370,5690.47,112.86,-19.47,-5.8597
GV-00371,5710.52,138.07,-24.06,-5.7942
GV-00372,5765.74,114.39,-33.02,-5.5394
GV-00373,5805.1,115.37,-35.44,-5.4687
GV-00374,5869.23,137.8,-33.17,-5.3414
GV-00375,5922.79,115.7,-28.95,-5.1567
GV-00376,5974.67,116.34,-20.67,-5.04
GV-00377,6025.49,118.22,-21.36,-4.7745
GV-00378,6087.99,127.79,-30.41,-4.8258
GV-00379,6131.6,140.18,-29.65,-4.6816
GV-00380,6191.31,107.05,-29.64,-4.4271
GV-00381,6234.27,119.61,-44.46,-4.1641
