# crs: EPSG:2193
# origin_xy_absolute_m: 1829406.648, 5650462.542
id,x_m,y_m,z_m,gravity_mgal
GV-00001,9.29,26.87,-194.6,1.541
GV-00002,93.96,34.8,-196.66,1.3075
GV-00003,118.83,38.6,-196.86,1.095
GV-00004,180.61,41.49,-194.53,0.9283
GV-00005,214.27,9.71,-203.96,0.8352
GV-00006,257.6,37.22,-197.25,0.4697
GV-00007,327.98,23.14,-204.08,0.4062
GV-00008,376.94,39.55,-200.75,0.3921
GV-00009,433.46,8.88,-196.72,0.2282
GV-00010,479.48,23.33,-198.14,0.0906
GV-00011,536.34,23.9,-195.49,0.0491
GV-00012,556.06,31.09,-198.73,-0.2986
GV-00013,635.38,7.32,-197.87,-0.2131
GV-00014,682.3,29.23,-198.27,-0.3146
GV-00015,741.13,30.84,-193.72,-0.6199
GV-00016,774.26,27.11,-201.01,-0.6126
GV-00017,817.07,43.67,-202.09,-0.9628
GV-00018,855.13,23.31,-208.53,-0.7771
GV-00019,935.81,39.54,-217.56,-1.0153
GV-00020,994.48,13.37,-214.3,-0.8249
GV-00021,1012.52,12.23,-217.35,-1.1163
GV-00022,1076.39,32.17,-211.48,-0.8792
GV-00023,1115.84,22.57,-215.6,-1.2012
GV-00024,1159.41,37.1,-218.98,-1.3297
GV-00025,1238.76,26.36,-225.77,-1.6387
GV-00026,1262.79,19.93,-225.3,-1.5553
GV-00027,1329.34,35.83,-221.2,-1.468
GV-00028,1380.78,20.75,-222.88,-1.7697
GV-00029,1442.64,20.88,-220.77,-1.6607
GV-00030,1486.66,27.79,-221.36,-1.8559
GV-00031,1539.94,30.49,-227.21,-1.6326
GV-00032,1565.26,34.05,-228.77,-1.908
GV-00033,1612.34,25.81,-233.18,-1.8774
GV-00034,1678.36,27.45,-236.88,-2.0234
GV-00035,1709.2,13.59,-229.52,-2.2928
GV-00036,1770.78,24.04,-222.81,-2.2938
GV-00037,1837.3,10.98,-215.67,-2.1497
GV-00038,1867.29,7.53,-218.56,-2.2744
GV-00039,1940.57,40.11,-209.85,-2.3011
GV-00040,1987.84,17.55,-193.69,-2.3426
GV-00041,2039.27,31.28,-181.82,-2.3623
GV-00042,2094.46,33.81,-180.2,-2.5131
GV-00043,2108.2,37.56,-178.12,-2.5908
GV-00044,2180.83,8.95,-172.09,-2.6298
GV-00045,2213.74,10.32,-179.67,-2.8444
GV-00046,2263.16,16.52,-185.77,-2.8125
GV-00047,2311.7,34.24,-186.39,-2.5686
GV-00048,2370.05,23.0,-187.19,-2.7989
GV-00049,2418.52,27.93,-185.59,-2.7661
GV-00050,2474.18,44.03,-190.96,-2.8526
GV-00051,2519.57,10.59,-193.8,-2.8527
GV-00052,2583.95,11.65,-210.42,-3.0505
GV-00053,2618.31,21.11,-211.36,-2.9367
GV-00054,2671.68,18.9,-216.24,-2.8568
GV-00055,2726.0,14.77,-224.42,-2.8859
GV-00056,2784.76,37.12,-228.28,-2.8341
GV-00057,2837.2,12.31,-238.52,-3.0552
GV-00058,2888.17,10.68,-247.15,-3.1464
GV-00059,2931.96,14.26,-242.9,-3.0577
GV-00060,2962.23,32.5,-248.35,-3.1183
GV-00061,3034.55,32.99,-247.84,-3.1158
GV-00062,3090.26,23.41,-241.79,-3.1701
GV-00063,3117.41,40.36,-246.84,-3.1793
GV-00064,3167.66,22.97,-251.94,-3.1494
GV-00065,3239.89,37.25,-264.99,-3.2988
GV-00066,3256.89,33.85,-274.87,-3.2302
GV-00067,3331.42,26.13,-274.04,-3.337
GV-00068,3378.27,5.56,-272.46,-3.3055
GV-00069,3413.29,24.95,-269.9,-3.3614
GV-00070,3482.27,28.02,-257.23,-3.119
GV-00071,3523.82,8.43,-262.14,-3.3427
GV-00072,3593.22,14.34,-256.12,-3.3148
GV-00073,3621.34,5.98,-259.48,-3.3101
GV-00074,3669.32,5.97,-255.4,-3.3017
GV-00075,3731.8,7.01,-249.23,-3.3265
GV-00076,3765.4,8.9,-254.62,-3.331
GV-00077,3831.85,26.45,-257.98,-3.4306
GV-00078,3860.24,40.96,-259.98,-3.3617
GV-00079,3939.6,23.82,-257.99,-3.4237
GV-00080,3966.01,27.9,-260.2,-3.241
GV-00081,4030.45,14.04,-262.28,-3.4649
GV-00082,4081.39,7.11,-267.92,-3.5559
GV-00083,4122.33,17.51,-266.48,-3.4058
GV-00084,4158.55,10.68,-273.65,-3.5259
GV-00085,4220.89,6.51,-278.9,-3.2258
GV-00086,4288.34,9.23,-279.73,-3.4245
GV-00087,4318.08,34.88,-276.06,-3.463
GV-00088,4374.22,40.61,-282.92,-3.2215
GV-00089,4429.01,16.71,-280.2,-3.2623
GV-00090,4461.9,12.69,-284.67,-3.1805
GV-00091,4535.76,18.99,-291.53,-3.3071
GV-00092,4570.99,32.87,-288.06,-3.2135
GV-00093,4631.81,40.14,-286.14,-3.0713
GV-00094,4660.72,42.19,-294.18,-3.2945
GV-00095,4740.22,10.37,-290.74,-3.2554
GV-00096,4769.71,34.21,-292.57,-3.1001
GV-00097,4831.92,8.45,-297.31,-3.1899
GV-00098,4868.2,39.64,-294.28,-3.1405
GV-00099,4930.03,44.48,-292.1,-2.9364
GV-00100,4967.4,28.68,-299.6,-3.0977
GV-00101,5020.85,31.82,-296.43,-2.9694
GV-00102,5066.33,7.6,-298.5,-3.0815
GV-00103,5132.61,29.39,-295.8,-2.8156
GV-00104,5159.32,23.48,-296.35,-2.8271
GV-00105,5219.84,9.93,-304.31,-2.8109
GV-00106,5270.22,38.53,-300.9,-2.8675
GV-00107,5325.44,39.65,-299.58,-2.729
GV-00108,5386.79,33.56,-302.33,-2.6855
GV-00109,5411.79,6.1,-304.88,-2.6888
GV-00110,5468.85,27.52,-310.77,-2.5349
GV-00111,5543.47,23.71,-306.1,-2.5942
GV-00112,5579.56,39.93,-309.29,-2.438
GV-00113,5635.53,15.51,-310.72,-2.3882
GV-00114,5673.56,29.09,-316.56,-2.2637
GV-00115,5737.22,13.22,-319.87,-2.2463
GV-00116,5756.75,26.81,-319.23,-2.1815
GV-00117,5841.95,38.1,-318.8,-2.1894
GV-00118,5872.03,18.05,-323.87,-1.9882
GV-00119,5917.8,39.1,-320.21,-1.8483
GV-00120,5986.41,9.96,-322.91,-1.6609
GV-00121,6016.79,15.34,-325.64,-1.526
GV-00122,6075.19,13.77,-324.23,-1.6702
GV-00123,6117.96,35.29,-324.66,-1.5065
GV-00124,6164.07,34.01,-325.14,-1.3901
GV-00125,6225.07,41.43,-333.52,-1.2143
GV-00126,6278.95,24.48,-328.54,-1.1506
GV-00127,6340.15,8.11,-327.56,-1.0276
GV-00128,6387.61,9.97,-325.0,-0.8463
GV-00129,39.13,72.15,-192.99,1.3184
GV-00130,82.39,56.26,-195.56,1.1471
GV-00131,107.47,72.35,-187.67,0.971
GV-00132,187.65,59.06,-193.46,0.8285
GV-00133,211.72,58.94,-191.88,0.6771
GV-00134,271.25,57.86,-200.03,0.2835
GV-00135,317.5,69.08,-187.73,0.233
GV-00136,373.58,57.3,-194.2,0.1102
GV-00137,410.59,58.82,-195.5,-0.0527
GV-00138,476.7,70.83,-198.38,-0.1341
GV-00139,527.68,68.33,-197.32,-0.345
GV-00140,561.88,58.05,-194.65,-0.3785
GV-00141,621.0,55.14,-194.67,-0.5675
GV-00142,660.94,57.55,-191.75,-0.7849
GV-00143,738.5,61.52,-190.94,-0.6522
GV-00144,783.87,70.15,-191.63,-0.8512
GV-00145,807.64,93.53,-197.68,-0.9648
GV-00146,879.69,85.68,-200.39,-1.1529
GV-00147,921.6,69.85,-207.52,-1.2014
GV-00148,989.91,67.71,-203.02,-1.2726
GV-00149,1038.91,86.51,-203.52,-1.323
GV-00150,1057.59,75.89,-212.37,-1.3804
GV-00151,1105.48,87.99,-206.73,-1.5571
GV-00152,1166.36,56.15,-217.83,-1.6042
GV-00153,1225.16,76.07,-219.52,-1.7789
GV-00154,1270.85,72.8,-224.23,-1.6595
GV-00155,1323.26,90.33,-224.32,-1.8674
GV-00156,1388.74,78.67,-224.49,-1.8266
GV-00157,1412.55,63.97,-227.99,-1.9591
GV-00158,1484.93,64.45,-226.59,-1.9032
GV-00159,1544.7,87.61,-231.47,-2.2003
GV-00160,1565.73,85.67,-237.42,-2.1549
GV-00161,1612.82,75.3,-237.45,-2.0915
GV-00162,1693.08,61.34,-232.77,-2.3108
GV-00163,1726.84,74.26,-228.58,-2.5108
GV-00164,1766.44,89.15,-235.41,-2.5723
GV-00165,1822.74,85.09,-230.15,-2.5741
GV-00166,1861.25,93.71,-233.0,-2.6682
GV-00167,1942.54,62.71,-222.32,-2.6096
GV-00168,1960.71,59.22,-209.57,-2.625
GV-00169,2006.35,80.47,-200.62,-2.7279
GV-00170,2057.26,82.02,-198.0,-2.8751
GV-00171,2120.47,58.24,-186.08,-2.748
GV-00172,2174.18,92.62,-185.22,-2.8768
GV-00173,2216.54,61.94,-185.67,-2.9529
GV-00174,2260.91,86.37,-190.07,-2.9427
GV-00175,2339.39,61.06,-198.92,-2.8716
GV-00176,2389.96,62.13,-194.29,-3.0571
GV-00177,2406.24,61.36,-197.08,-3.0581
GV-00178,2472.28,57.94,-192.66,-3.1007
GV-00179,2521.13,65.09,-205.23,-3.3251
GV-00180,2594.48,93.85,-208.09,-3.1134
GV-00181,2628.18,67.35,-217.79,-3.1247
GV-00182,2673.84,84.62,-225.74,-3.2074
GV-00183,2716.86,85.02,-229.42,-3.3641
GV-00184,2775.76,90.47,-237.46,-3.2974
GV-00185,2840.82,69.2,-245.34,-3.3218
GV-00186,2879.62,74.41,-249.31,-3.3042
GV-00187,2926.56,86.03,-247.61,-3.2228
GV-00188,2993.35,57.16,-247.78,-3.3639
GV-00189,3016.25,85.38,-248.52,-3.4263
GV-00190,3061.14,60.46,-246.6,-3.5294
GV-00191,3108.59,67.74,-253.52,-3.2802
GV-00192,3182.01,84.92,-258.68,-3.4072
GV-00193,3212.18,90.86,-270.78,-3.5131
GV-00194,3255.81,86.67,-277.83,-3.4396
GV-00195,3343.98,61.03,-277.96,-3.7054
GV-00196,3357.82,86.08,-279.29,-3.6456
GV-00197,3422.53,63.11,-277.89,-3.5928
GV-00198,3456.25,89.24,-267.18,-3.5628
GV-00199,3538.97,86.05,-262.65,-3.6329
GV-00200,3562.18,83.0,-261.03,-3.4903
GV-00201,3626.8,64.07,-261.09,-3.6549
GV-00202,3669.8,83.06,-263.3,-3.6947
GV-00203,3705.03,89.85,-251.5,-3.5725
GV-00204,3791.72,89.36,-254.63,-3.5815
GV-00205,3836.62,73.02,-259.1,-3.545
GV-00206,3883.24,71.59,-255.92,-3.6542
GV-00207,3919.4,75.18,-256.89,-3.5164
GV-00208,3969.31,71.39,-257.55,-3.5673
GV-00209,4023.19,55.37,-267.79,-3.5591
GV-00210,4057.22,71.57,-265.45,-3.499
GV-00211,4108.85,65.61,-265.76,-3.5055
GV-00212,4180.59,92.23,-273.53,-3.6616
GV-00213,4235.37,66.08,-273.33,-3.5478
GV-00214,4270.61,58.2,-281.4,-3.6474
GV-00215,4336.31,63.32,-279.96,-3.5529
GV-00216,4393.55,58.42,-278.04,-3.6398
GV-00217,4415.26,71.48,-283.29,-3.4494
GV-00218,4492.61,56.11,-290.1,-3.5677
GV-00219,4514.49,94.35,-290.02,-3.5002
GV-00220,4573.46,57.56,-291.59,-3.4265
GV-00221,4627.9,61.33,-287.44,-3.3712
GV-00222,4683.55,89.83,-290.5,-3.3767
GV-00223,4709.2,56.92,-295.19,-3.4512
GV-00224,4758.58,84.09,-288.67,-3.383
GV-00225,4827.58,91.88,-293.21,-3.3303
GV-00226,4888.69,63.2,-292.43,-3.2667
GV-00227,4935.68,65.03,-294.27,-3.2949
GV-00228,4990.34,79.0,-291.94,-3.3519
GV-00229,5028.86,58.78,-297.08,-3.2285
GV-00230,5089.81,61.06,-294.16,-3.1926
GV-00231,5141.62,82.83,-301.89,-3.0829
GV-00232,5160.84,76.78,-302.07,-3.0299
GV-00233,5237.71,87.27,-304.7,-2.8229
GV-00234,5290.68,78.7,-303.53,-3.046
GV-00235,5318.57,56.9,-308.22,-2.966
GV-00236,5391.09,67.86,-305.16,-2.8485
GV-00237,5421.12,92.92,-303.51,-2.8485
GV-00238,5488.49,71.53,-306.13,-2.6862
GV-00239,5536.98,88.54,-307.07,-2.7344
GV-00240,5592.15,83.55,-306.15,-2.6057
GV-00241,5612.22,68.29,-310.91,-2.6001
GV-00242,5683.43,69.63,-314.19,-2.5916
GV-00243,5708.73,70.13,-308.92,-2.3675
