# crs: EPSG:2193
# origin_xy_absolute_m: 1583302.663, 5355062.397
id,x_m,y_m,z_m,gravity_mgal
GV-00001,24.57,40.07,-1074.4,-7.3096
GV-00002,81.86,38.85,-1094.94,-7.5402
GV-00003,108.39,18.46,-1108.37,-7.4015
GV-00004,178.04,21.9,-1134.85,-7.6608
GV-00005,231.58,38.4,-1158.7,-7.7651
GV-00006,261.16,16.63,-1164.6,-7.8338
GV-00007,343.74,16.12,-1171.87,-7.9307
GV-00008,375.07,34.39,-1177.18,-8.1007
GV-00009,411.34,28.04,-1181.97,-8.1428
GV-00010,478.07,29.01,-1187.56,-8.2655
GV-00011,532.7,44.68,-1201.3,-8.3927
GV-00012,570.84,21.64,-1201.98,-8.4571
GV-00013,613.97,36.77,-1199.08,-8.7916
GV-00014,679.61,29.4,-1187.67,-8.7257
GV-00015,725.48,8.78,-1174.68,-8.9856
GV-00016,761.91,38.28,-1178.59,-8.9092
GV-00017,835.0,19.85,-1181.25,-9.0225
GV-00018,894.49,14.26,-1184.37,-9.4216
GV-00019,907.63,34.48,-1186.4,-9.3579
GV-00020,971.4,33.32,-1188.17,-9.5438
GV-00021,1029.5,24.85,-1191.33,-9.5506
GV-00022,1087.19,25.99,-1174.5,-9.7778
GV-00023,1105.96,33.7,-1154.17,-9.9151
GV-00024,1184.8,21.39,-1140.64,-9.9783
GV-00025,1231.71,38.43,-1125.85,-10.061
GV-00026,1271.81,41.22,-1099.82,-10.1685
GV-00027,1326.88,38.93,-1075.66,-10.3881
GV-00028,1367.67,8.06,-1039.99,-10.553
GV-00029,1413.0,20.59,-1007.87,-10.6528
GV-00030,1484.81,36.34,-981.64,-10.7758
GV-00031,1511.56,22.13,-942.55,-10.9129
GV-00032,1566.23,18.83,-909.08,-11.1402
GV-00033,1621.9,34.35,-872.82,-11.3235
GV-00034,1691.32,21.44,-834.19,-11.4393
GV-00035,1744.17,14.19,-798.59,-11.5029
GV-00036,1763.37,37.55,-759.72,-11.627
GV-00037,1842.06,36.02,-726.08,-11.8489
GV-00038,1874.9,16.39,-685.48,-12.1221
GV-00039,1929.23,26.73,-644.03,-12.2036
GV-00040,1988.04,41.53,-611.34,-12.4672
GV-00041,2024.69,25.82,-572.45,-12.5619
GV-00042,2091.12,32.08,-538.91,-12.6767
GV-00043,2131.92,35.12,-506.39,-12.6954
GV-00044,2156.35,27.72,-477.71,-13.0369
GV-00045,2224.38,42.67,-443.48,-13.179
GV-00046,2278.36,18.95,-414.36,-13.3222
GV-00047,2309.69,16.26,-400.35,-13.4836
GV-00048,2382.01,10.0,-387.42,-13.7483
GV-00049,2435.2,35.94,-385.94,-13.8886
GV-00050,2487.77,22.08,-377.01,-13.917
GV-00051,2509.67,39.53,-375.58,-14.2509
GV-00052,2571.17,16.32,-358.64,-14.1848
GV-00053,2631.63,26.99,-347.41,-14.4594
GV-00054,2677.42,12.47,-317.94,-14.5746
GV-00055,2709.06,42.7,-298.11,-14.4974
GV-00056,2791.91,27.83,-269.08,-14.8891
GV-00057,2817.64,26.48,-235.11,-14.9568
GV-00058,2855.62,32.42,-206.1,-14.9744
GV-00059,2923.68,8.83,-189.05,-15.1252
GV-00060,2962.76,43.83,-186.62,-15.3126
GV-00061,3008.3,8.13,-175.91,-15.4389
GV-00062,3092.21,38.2,-152.34,-15.3517
GV-00063,3144.51,44.84,-125.52,-15.4117
GV-00064,3160.93,31.09,-92.17,-15.5984
GV-00065,3222.19,10.53,-59.85,-15.5449
