id,x_m,y_m,z_m,gravity_mgal
GV-00001,20.58,27.43,-602.81,-5.7671
GV-00002,69.0,33.51,-596.93,-5.9764
GV-00003,111.25,8.31,-603.37,-5.9226
GV-00004,155.37,15.25,-596.8,-6.1576
GV-00005,205.95,5.5,-601.75,-5.794
GV-00006,263.03,6.06,-596.94,-6.0783
GV-00007,320.82,19.47,-600.55,-6.2046
GV-00008,383.65,35.34,-597.15,-6.3745
GV-00009,434.47,30.25,-595.62,-6.3631
GV-00010,465.44,11.1,-596.32,-6.3993
GV-00011,512.87,36.19,-602.88,-6.3433
GV-00012,570.98,43.51,-595.2,-6.4753
GV-00013,633.6,44.13,-596.23,-6.6064
GV-00014,666.14,25.51,-603.41,-6.5536
GV-00015,706.12,41.95,-552.83,-6.515
GV-00016,794.8,38.68,-546.85,-6.819
GV-00017,809.07,16.93,-553.6,-6.5688
GV-00018,889.34,28.31,-553.73,-6.6401
GV-00019,921.2,8.67,-545.73,-6.7911
GV-00020,968.07,30.74,-551.95,-6.8993
GV-00021,1031.64,35.96,-549.88,-6.8995
GV-00022,1070.46,36.82,-549.27,-6.8181
GV-00023,1116.69,35.7,-553.4,-6.9462
GV-00024,1155.73,5.16,-547.03,-6.6941
GV-00025,1220.57,16.83,-545.54,-6.7506
GV-00026,1276.03,26.97,-553.73,-6.7044
GV-00027,1338.97,40.34,-552.64,-6.8077
GV-00028,1360.11,42.58,-548.29,-6.9665
GV-00029,1427.67,27.89,-552.38,-7.0393
GV-00030,1484.64,11.53,-554.16,-6.7832
GV-00031,1517.46,19.13,-549.67,-6.7647
GV-00032,1561.52,41.67,-546.81,-6.8711
GV-00033,1644.76,15.66,-551.33,-6.7067
GV-00034,1658.7,26.49,-545.27,-6.8617
GV-00035,1730.37,26.47,-551.04,-6.7588
GV-00036,1766.14,34.99,-548.1,-6.9796
GV-00037,1825.42,35.34,-547.1,-6.7781
GV-00038,1864.67,41.76,-548.69,-6.8281
GV-00039,1919.33,33.6,-549.28,-6.6246
GV-00040,1984.98,27.94,-553.95,-6.7723
GV-00041,2028.41,28.9,-553.62,-6.6314
GV-00042,2066.29,9.55,-549.12,-6.7922
GV-00043,2141.69,20.34,-546.79,-6.8816
GV-00044,2165.45,32.84,-545.42,-6.9233
GV-00045,2242.61,31.27,-551.23,-6.7247
GV-00046,2283.75,19.76,-549.19,-6.6483
GV-00047,2323.49,28.6,-545.96,-6.7857
GV-00048,2358.01,42.24,-547.34,-6.6167
GV-00049,2407.09,30.25,-552.51,-6.7514
GV-00050,2458.38,24.32,-551.81,-6.5438
GV-00051,2544.41,15.43,-550.64,-6.5396
GV-00052,2568.27,14.8,-552.53,-6.5637
GV-00053,2616.69,11.84,-552.08,-6.5357
GV-00054,2678.71,13.67,-545.51,-6.3657
GV-00055,2717.13,22.78,-548.69,-6.413
GV-00056,2772.69,11.69,-547.12,-6.3734
GV-00057,2826.58,32.75,-547.64,-6.3695
GV-00058,2880.76,41.99,-546.52,-6.3341
GV-00059,2929.26,43.09,-551.07,-6.1586
GV-00060,2984.38,24.87,-554.9,-6.3856
GV-00061,3025.84,29.23,-603.17,-6.0612
GV-00062,3075.11,27.93,-597.71,-6.1978
GV-00063,3120.89,14.15,-596.3,-6.0992
GV-00064,3186.08,36.17,-602.65,-5.859
GV-00065,3236.32,37.74,-600.66,-5.8082
GV-00066,3271.82,38.72,-648.61,-5.8709
GV-00067,3333.94,41.47,-653.61,-5.7294
GV-00068,3385.43,11.53,-651.85,-5.8779
GV-00069,3408.17,38.23,-647.72,-5.6931
GV-00070,3480.94,23.7,-648.72,-5.7024
GV-00071,3543.07,5.75,-699.66,-5.5369
GV-00072,3574.12,19.02,-701.14,-5.7792
GV-00073,3622.81,41.21,-700.11,-5.4804
GV-00074,3692.85,40.84,-699.4,-5.5815
GV-00075,3733.2,26.7,-701.27,-5.327
GV-00076,3780.7,13.63,-697.0,-5.4004
GV-00077,3836.98,11.51,-701.03,-5.4234
GV-00078,3890.24,31.83,-695.81,-5.4838
GV-00079,3906.95,16.98,-699.4,-5.4142
GV-00080,3966.97,31.7,-702.45,-5.0892
GV-00081,4018.77,27.88,-695.26,-5.2261
GV-00082,4090.65,32.88,-700.49,-5.1585
GV-00083,4143.09,36.73,-700.14,-5.1341
GV-00084,4182.39,8.94,-652.67,-4.9979
GV-00085,4224.97,43.01,-645.03,-5.052
GV-00086,4268.78,13.2,-652.48,-4.9869
GV-00087,4338.72,25.67,-651.59,-4.9093
GV-00088,4368.68,25.17,-646.16,-4.8528
GV-00089,4407.25,34.35,-650.31,-4.8346
GV-00090,4490.57,15.97,-654.81,-4.7394
GV-00091,4533.69,18.86,-646.54,-4.8323
GV-00092,4564.84,34.13,-653.1,-4.6283
GV-00093,4626.41,25.85,-647.04,-4.5001
GV-00094,4676.18,6.99,-649.51,-4.3298
GV-00095,4726.99,7.12,-653.76,-4.3543
GV-00096,4757.52,7.67,-648.98,-4.5101
GV-00097,4820.17,43.3,-649.1,-4.2866
GV-00098,4891.39,30.11,-651.65,-4.2779
GV-00099,4924.09,37.29,-649.45,-3.8725
GV-00100,4973.76,35.87,-647.6,-4.159
GV-00101,5040.85,32.29,-646.87,-3.9765
GV-00102,5057.6,19.74,-648.93,-3.7224
GV-00103,5138.9,24.67,-650.15,-3.9324
GV-00104,5179.47,37.52,-652.4,-3.7778
GV-00105,5232.57,22.18,-650.23,-3.7622
GV-00106,5280.85,34.97,-649.82,-3.5713
GV-00107,5340.6,43.0,-604.45,-3.4031
GV-00108,5373.07,23.74,-596.27,-3.3902
GV-00109,5435.8,24.45,-552.08,-3.4124
GV-00110,5468.17,33.37,-546.06,-3.1522
GV-00111,5526.78,27.61,-550.22,-3.2141
GV-00112,5594.22,27.23,-554.6,-2.966
GV-00113,5641.98,12.62,-603.4,-3.0554
GV-00114,5667.88,35.17,-547.29,-2.7187
GV-00115,5739.85,13.88,-550.61,-2.7735
GV-00116,5792.94,8.76,-549.07,-2.668
GV-00117,5808.31,24.19,-546.85,-2.3608
GV-00118,5890.93,12.79,-550.53,-2.4975
GV-00119,5926.8,43.61,-595.98,-1.9739
GV-00120,5991.45,24.95,-600.8,-1.9512
GV-00121,6040.34,42.11,-598.07,-1.6481
GV-00122,6065.68,37.45,-602.4,-1.4487
GV-00123,6109.26,15.53,-596.15,-1.1279
GV-00124,6167.25,9.64,-598.87,-1.277
GV-00125,6239.52,21.91,-603.7,-0.8957
GV-00126,6294.49,24.74,-601.1,-0.839
GV-00127,6329.38,41.99,-647.01,-0.5288
GV-00128,6364.81,5.77,-650.55,-0.2781
GV-00129,13.64,90.97,-604.29,-5.7597
GV-00130,94.57,75.44,-601.07,-6.0614
GV-00131,105.55,61.11,-603.27,-6.147
GV-00132,168.83,71.54,-603.26,-6.2373
GV-00133,236.62,88.52,-604.8,-6.0422
GV-00134,276.53,74.24,-601.02,-6.3435
GV-00135,336.41,91.51,-601.48,-6.1297
GV-00136,384.62,57.5,-596.13,-6.3554
GV-00137,423.15,65.83,-604.94,-6.4973
GV-00138,480.3,59.67,-598.36,-6.5907
GV-00139,532.67,57.38,-604.45,-6.6431
GV-00140,569.03,88.26,-549.29,-6.6673
GV-00141,624.05,81.92,-552.55,-6.7163
GV-00142,680.11,84.96,-551.23,-6.9246
GV-00143,729.45,93.53,-553.32,-6.8729
GV-00144,755.42,61.96,-547.27,-6.934
GV-00145,832.08,88.89,-549.53,-7.0316
GV-00146,867.53,90.18,-554.44,-6.9485
GV-00147,928.8,67.14,-547.83,-6.9256
GV-00148,963.33,87.63,-546.16,-7.0885
GV-00149,1023.18,80.53,-548.02,-7.1638
GV-00150,1076.5,92.69,-554.39,-7.0665
GV-00151,1115.41,93.14,-553.95,-7.1039
GV-00152,1193.89,58.45,-545.26,-7.2513
GV-00153,1232.1,69.48,-546.22,-7.1104
GV-00154,1281.48,70.34,-548.4,-7.0955
GV-00155,1321.61,72.1,-549.66,-7.1565
GV-00156,1383.14,68.01,-550.75,-7.0035
GV-00157,1439.65,74.68,-553.34,-7.0707
GV-00158,1460.86,77.86,-550.87,-7.0662
GV-00159,1527.82,82.31,-546.8,-7.1001
GV-00160,1561.99,87.28,-547.79,-7.1118
GV-00161,1607.98,61.45,-547.57,-7.0352
GV-00162,1675.12,88.05,-549.81,-6.9515
GV-00163,1729.92,68.82,-554.88,-7.2192
GV-00164,1789.46,85.35,-551.76,-7.1064
GV-00165,1843.52,57.6,-553.71,-6.9368
GV-00166,1893.53,69.23,-548.43,-7.0387
GV-00167,1917.67,77.87,-546.6,-7.1106
GV-00168,1984.51,79.58,-548.72,-6.9678
GV-00169,2032.7,60.82,-548.38,-6.9655
GV-00170,2078.27,79.17,-549.93,-6.9707
GV-00171,2137.23,59.26,-552.53,-7.0808
GV-00172,2157.25,84.62,-553.26,-6.9504
GV-00173,2229.4,68.61,-547.68,-6.9026
GV-00174,2292.0,82.0,-554.36,-6.6954
GV-00175,2334.74,78.03,-554.52,-6.9898
GV-00176,2364.51,91.26,-549.85,-7.0668
GV-00177,2424.53,72.45,-545.95,-6.894
GV-00178,2477.21,89.91,-551.91,-6.7025
GV-00179,2513.21,92.95,-548.91,-6.7912
GV-00180,2590.26,57.88,-550.67,-6.7603
GV-00181,2607.92,78.44,-546.09,-6.8269
GV-00182,2658.88,78.06,-553.35,-6.7978
GV-00183,2712.12,87.82,-548.63,-6.6119
GV-00184,2786.12,57.46,-601.81,-6.6024
GV-00185,2805.26,60.33,-598.62,-6.409
GV-00186,2890.18,74.44,-600.89,-6.5125
GV-00187,2918.31,87.7,-595.56,-6.498
GV-00188,2961.6,89.49,-595.6,-6.4816
GV-00189,3038.32,82.3,-602.81,-6.2677
GV-00190,3085.3,74.32,-653.05,-6.3081
GV-00191,3123.27,89.2,-597.92,-6.4139
GV-00192,3186.97,86.08,-597.56,-6.2791
GV-00193,3207.8,71.9,-597.1,-6.1034
GV-00194,3258.75,74.57,-649.93,-6.1608
GV-00195,3320.81,58.99,-647.86,-6.1109
GV-00196,3382.78,64.84,-654.11,-5.9488
GV-00197,3414.29,72.86,-646.72,-5.8227
GV-00198,3487.98,74.93,-652.21,-5.8907
GV-00199,3524.38,61.46,-695.51,-5.9461
GV-00200,3587.47,92.82,-703.64,-5.8784
GV-00201,3631.31,69.78,-701.25,-5.6343
GV-00202,3663.32,55.92,-699.96,-5.9228
GV-00203,3724.28,69.45,-697.51,-5.7342
GV-00204,3757.63,57.86,-697.95,-5.6109
GV-00205,3844.69,80.61,-695.85,-5.6979
GV-00206,3855.6,83.97,-702.48,-5.5066
GV-00207,3917.11,70.22,-698.46,-5.7155
GV-00208,3982.94,56.6,-696.91,-5.3058
GV-00209,4009.32,57.1,-697.77,-5.5568
GV-00210,4085.79,94.53,-703.73,-5.5125
GV-00211,4128.57,85.58,-645.68,-5.3121
GV-00212,4182.72,75.54,-646.81,-5.3788
GV-00213,4217.31,61.31,-649.06,-5.3088
GV-00214,4279.06,88.03,-652.54,-5.2692
GV-00215,4308.64,82.71,-651.58,-5.146
GV-00216,4379.98,65.29,-648.73,-4.9976
GV-00217,4442.46,72.0,-652.41,-5.0461
GV-00218,4469.31,81.79,-654.12,-5.0213
GV-00219,4536.15,57.83,-651.59,-4.826
GV-00220,4559.23,65.28,-653.26,-4.8976
GV-00221,4643.15,83.87,-647.82,-4.8533
GV-00222,4682.98,67.97,-649.81,-4.6313
GV-00223,4719.49,79.95,-649.43,-4.6587
GV-00224,4781.24,70.47,-651.15,-4.5931
GV-00225,4836.37,72.22,-646.88,-4.4008
GV-00226,4878.66,93.81,-645.92,-4.2511
GV-00227,4922.55,80.3,-646.88,-4.2525
GV-00228,4971.03,60.56,-647.96,-4.2756
GV-00229,5011.36,59.83,-651.07,-4.1966
GV-00230,5082.29,83.7,-647.03,-3.973
GV-00231,5134.17,72.86,-651.97,-4.1943
GV-00232,5194.78,82.45,-652.0,-3.8986
GV-00233,5232.9,74.54,-653.35,-3.8054
GV-00234,5263.23,69.37,-646.79,-3.7541
GV-00235,5325.17,71.44,-595.57,-3.7236
GV-00236,5392.68,89.03,-598.71,-3.5785
GV-00237,5406.44,83.38,-548.86,-3.6854
GV-00238,5467.58,93.81,-552.6,-3.2569
GV-00239,5520.75,59.25,-595.53,-3.4213
GV-00240,5568.08,77.34,-598.69,-3.2497
GV-00241,5610.96,82.04,-601.52,-3.3725
GV-00242,5681.65,81.48,-551.19,-3.0719
GV-00243,5732.79,81.12,-552.79,-2.9422
GV-00244,5792.09,93.97,-554.46,-2.8437
GV-00245,5814.01,56.44,-552.94,-2.7888
GV-00246,5889.45,77.4,-545.69,-2.3969
GV-00247,5923.15,94.52,-599.24,-2.3524
GV-00248,5980.2,86.19,-604.98,-2.1335
GV-00249,6006.22,89.32,-604.72,-2.0795
GV-00250,6057.23,73.48,-599.58,-1.6036
GV-00251,6139.88,62.33,-603.2,-1.5139
GV-00252,6177.03,61.13,-598.68,-1.4767
GV-00253,6208.87,82.13,-599.98,-1.1155
